Date,Tournament,W/L,Side,Vs_Team,Game_Length,Champion,Vs_Champion,Kills,Deaths,Assists,KDA,Spells,CS,Delta_CS,Items,Date_parsed,tournaments_played,date,blue_side_team,red_side_team,winner,blue_side_bans,red_side_bans,blue_side_picks,red_side_picks,blue_side_roster,red_side_roster,tournament_curr_total_games,tournament_curr_wins,tournament_curr_losses,tournament_curr_win_percentage,tournament_type,teams_region,teammate_role_top,teammate_role_jungle,teammate_role_mid,teammate_role_adc,teammate_role_support,enemy_role_top,enemy_role_jungle,enemy_role_mid,enemy_role_adc,enemy_role_support,bans,teammate_top_champion,teammate_jungle_champion,teammate_mid_champion,teammate_adc_champion,teammate_support_champion,opponent_top_champion,opponent_jungle_champion,opponent_mid_champion,opponent_adc_champion,opponent_support_champion,teammate_top_ign,teammate_jungle_ign,teammate_mid_ign,teammate_adc_ign,teammate_support_ign,opponent_top_ign,opponent_jungle_ign,opponent_mid_ign,opponent_adc_ign,opponent_support_ign
2013-04-06 10:30:00,"Korea,Champions 2013 Spring",Win,Red,CJ Entus Blaze,35:42,Nidalee,Kha'Zix,6,0,7,13.0,"Ignite,Flash",198,-92,"Rabadon's Deathcap,Seraph's Embrace,Void Staff,Sorcerer's Shoes - Homeguard,Doran's Ring,Cloth Armor    ",2013-04-06 10:30:00,0,2013-04-06 10:30:00,CJ Entus Blaze,SK Telecom T1 2,SK Telecom T1 2,"Kog'Maw,Syndra,Karthus","Sona,Twisted Fate,Kayle","Rumble,Nasus,Kha'Zix,Varus,Lulu","Jayce,Jarvan IV,Nidalee,Caitlyn,Fiddlesticks","Flame,Helios (Shin Dong-jin),Ambition,Cpt Jack,Lustboy","Impact,bengi,Faker,Piglet,PoohManDu",0,0,0,0.0,Regular Season,Korea,Artillery,Diver,Artillery,Sniper,Catcher,Battlemage,Juggernaut,Assassin,Marksman,Enchanter,"Karthus,Kayle,Kog'Maw,Sona,Syndra,Twisted Fate",Jayce,Jarvan IV,Nidalee,Caitlyn,Fiddlesticks,Rumble,Nasus,Kha'Zix,Varus,Lulu,Impact,bengi,Faker,Piglet,PoohManDu,Flame,Helios (Shin Dong-jin),Ambition,Cpt Jack,Lustboy
2013-04-06 10:30:01,"Korea,Champions 2013 Spring",Win,Blue,CJ Entus Blaze,35:23,Karthus,Diana,12,2,9,10.5,"Exhaust,Flash",296,+5,"Rabadon's Deathcap,Rod of Ages,Seraph's Embrace,Void Staff,Sorcerer's Shoes,Chain Vest  ",2013-04-06 10:30:01,0,2013-04-06 10:30:00,SK Telecom T1 2,CJ Entus Blaze,SK Telecom T1 2,"Sona,Elise,Kayle","Twisted Fate,Rumble,Shen","Kennen,Lee Sin,Karthus,Caitlyn,Fiddlesticks","Kha'Zix,Jarvan IV,Diana,Varus,Lulu","Impact,bengi,Faker,Piglet,PoohManDu","Flame,Helios (Shin Dong-jin),Ambition,Cpt Jack,Lustboy",1,1,0,1.0,Regular Season,Korea,Diver,Diver,Battlemage,Sniper,Catcher,Assassin,Diver,Diver,Marksman,Enchanter,"Elise,Kayle,Rumble,Shen,Sona,Twisted Fate",Kennen,Lee Sin,Karthus,Caitlyn,Fiddlesticks,Kha'Zix,Jarvan IV,Diana,Varus,Lulu,Impact,bengi,Faker,Piglet,PoohManDu,Flame,Helios (Shin Dong-jin),Ambition,Cpt Jack,Lustboy
2013-04-12 09:30:00,"Korea,Champions 2013 Spring",Loss,Red,NaJin Sword,28:49,Lux,Twisted Fate,2,6,3,0.83,"Ignite,Flash",201,-17,"Athene's Unholy Grail,Needlessly Large Rod,Sorcerer's Shoes - Homeguard,Blasting Wand,Tear of the Goddess,Sight Ward    ",2013-04-12 09:30:00,0,2013-04-12 09:30:00,NaJin Sword,SK Telecom T1 2,NaJin Sword,"Jarvan IV,Thresh,Karthus","Sona,Kayle,Volibear","Elise,Nocturne,Twisted Fate,Miss Fortune,Leona","Shen,Lee Sin,Lux,Caitlyn,Nami","MakNooN,watch,SSONG,PraY,Cain","Impact,bengi,Faker,Piglet,PoohManDu",2,2,0,1.0,Regular Season,Korea,Warden,Diver,Burst,Sniper,Enchanter,Diver,Assassin,Burst,Nimble,Vanguard,"Jarvan IV,Karthus,Kayle,Sona,Thresh,Volibear",Shen,Lee Sin,Lux,Caitlyn,Nami,Elise,Nocturne,Twisted Fate,Miss Fortune,Leona,Impact,bengi,Faker,Piglet,PoohManDu,MakNooN,watch,SSONG,PraY,Cain
2013-04-12 09:30:01,"Korea,Champions 2013 Spring",Win,Blue,NaJin Sword,33:24,Twisted Fate,Zilean,7,3,6,4.33,"Ignite,Flash",293,+75,"Rabadon's Deathcap,Lich Bane,Void Staff,Sorcerer's Shoes - Homeguard,Quicksilver Sash,Doran's Ring  ",2013-04-12 09:30:01,0,2013-04-12 09:30:00,SK Telecom T1 2,NaJin Sword,SK Telecom T1 2,"Elise,Nocturne,Kayle","Jarvan IV,Thresh,Karthus","Jax,Volibear,Twisted Fate,Miss Fortune,Fiddlesticks","Shen,Lee Sin,Zilean,Varus,Sona","Impact,bengi,Faker,Piglet,PoohManDu","MakNooN,watch,SSONG,PraY,Cain",3,2,1,0.6667,Regular Season,Korea,Skirmisher,Juggernaut,Burst,Nimble,Catcher,Warden,Diver,Enchanter,Marksman,Enchanter,"Elise,Jarvan IV,Karthus,Kayle,Nocturne,Thresh",Jax,Volibear,Twisted Fate,Miss Fortune,Fiddlesticks,Shen,Lee Sin,Zilean,Varus,Sona,Impact,bengi,Faker,Piglet,PoohManDu,MakNooN,watch,SSONG,PraY,Cain
2013-04-17 09:30:00,"Korea,Champions 2013 Spring",Win,Blue,MVP Blue,38:43,Jayce,Kha'Zix,6,3,9,5.0,"Ignite,Flash",291,-11,"The Bloodthirster,Muramana,The Brutalizer,Ionian Boots of Lucidity,Giant's Belt,Pickaxe ",2013-04-17 09:30:00,0,2013-04-17 09:30:00,SK Telecom T1 2,MVP Blue,SK Telecom T1 2,"Rumble,Nocturne,Shen","Fiddlesticks,Jarvan IV,Twisted Fate","Kennen,Nasus,Jayce,Miss Fortune,Sona","Elise,Evelynn,Kha'Zix,Caitlyn,Thresh","Impact,bengi,Faker,Piglet,PoohManDu","Cheonju,ChuNyang,Easyhoon,Deft,FLahm",4,3,1,0.75,Regular Season,Korea,Diver,Juggernaut,Artillery,Nimble,Enchanter,Diver,Assassin,Assassin,Sniper,Catcher,"Fiddlesticks,Jarvan IV,Nocturne,Rumble,Shen,Twisted Fate",Kennen,Nasus,Jayce,Miss Fortune,Sona,Elise,Evelynn,Kha'Zix,Caitlyn,Thresh,Impact,bengi,Faker,Piglet,PoohManDu,Cheonju,ChuNyang,Easyhoon,Deft,FLahm
2013-04-17 09:30:01,"Korea,Champions 2013 Spring",Win,Red,MVP Blue,20:15,LeBlanc,Karthus,11,0,2,13.0,"Ignite,Flash",108,-4,"Deathfire Grasp,Sorcerer's Shoes - Homeguard,Blasting Wand,Doran's Ring,Doran's Ring,Crystalline Flask  ",2013-04-17 09:30:01,0,2013-04-17 09:30:00,MVP Blue,SK Telecom T1 2,SK Telecom T1 2,"Fiddlesticks,Miss Fortune,Jarvan IV","Rumble,Nocturne,Twisted Fate","Jayce,Elise,Karthus,Caitlyn,Zyra","Shen,Nasus,LeBlanc,Varus,Sona","Cheonju,ChuNyang,Easyhoon,Deft,FLahm","Impact,bengi,Faker,Piglet,PoohManDu",5,4,1,0.8,Regular Season,Korea,Warden,Juggernaut,Burst,Marksman,Enchanter,Artillery,Diver,Battlemage,Sniper,Catcher,"Fiddlesticks,Jarvan IV,Miss Fortune,Nocturne,Rumble,Twisted Fate",Shen,Nasus,LeBlanc,Varus,Sona,Jayce,Elise,Karthus,Caitlyn,Zyra,Impact,bengi,Faker,Piglet,PoohManDu,Cheonju,ChuNyang,Easyhoon,Deft,FLahm
2013-04-24 09:30:00,"Korea,Champions 2013 Spring",Win,Blue,KT Rolster A,29:04,Kha'Zix,Jayce,7,3,3,3.33,"Ignite,Flash",286,+101,"The Bloodthirster,Muramana,The Brutalizer,The Brutalizer,Mercury's Treads,  ",2013-04-24 09:30:00,0,2013-04-24 09:30:00,SK Telecom T1 2,KT Rolster A,SK Telecom T1 2,"Nocturne,Elise,Shen","Twisted Fate,Fiddlesticks,Jarvan IV","Kennen,Zac,Kha'Zix,Miss Fortune,Sona","Rumble,Nasus,Jayce,Twitch,Thresh","Impact,bengi,Faker,Piglet,PoohManDu","Vitamin,KaKAO,Zero (Yoon Kyung-sup),Hiro (Lee Woo-suk),Me5",6,5,1,0.8333,Regular Season,Korea,Diver,Vanguard,Assassin,Nimble,Enchanter,Battlemage,Juggernaut,Artillery,Glasscannon,Catcher,"Elise,Fiddlesticks,Jarvan IV,Nocturne,Shen,Twisted Fate",Kennen,Zac,Kha'Zix,Miss Fortune,Sona,Rumble,Nasus,Jayce,Twitch,Thresh,Impact,bengi,Faker,Piglet,PoohManDu,Vitamin,KaKAO,Zero (Yoon Kyung-sup),Hiro (Lee Woo-suk),Me5
2013-04-24 09:30:01,"Korea,Champions 2013 Spring",Win,Red,KT Rolster A,42:11,Twisted Fate,Fizz,2,4,9,2.75,"Ignite,Flash",387,+173,"Rabadon's Deathcap,Lich Bane,Banshee's Veil,Void Staff,Needlessly Large Rod,Sorcerer's Shoes - Homeguard    ",2013-04-24 09:30:01,0,2013-04-24 09:30:00,KT Rolster A,SK Telecom T1 2,SK Telecom T1 2,"Fiddlesticks,Jarvan IV,Sona","Nocturne,Kha'Zix,Thresh","Shen,Elise,Fizz,Ezreal,Lulu","Jayce,Lee Sin,Twisted Fate,Vayne,Mordekaiser","Vitamin,KaKAO,Zero (Yoon Kyung-sup),Hiro (Lee Woo-suk),Me5","Impact,bengi,Faker,Piglet,PoohManDu",7,6,1,0.8571,Regular Season,Korea,Artillery,Diver,Burst,Glasscannon,Juggernaut,Warden,Diver,Assassin,Nimble,Enchanter,"Fiddlesticks,Jarvan IV,Kha'Zix,Nocturne,Sona,Thresh",Jayce,Lee Sin,Twisted Fate,Vayne,Mordekaiser,Shen,Elise,Fizz,Ezreal,Lulu,Impact,bengi,Faker,Piglet,PoohManDu,Vitamin,KaKAO,Zero (Yoon Kyung-sup),Hiro (Lee Woo-suk),Me5
2013-05-03 09:30:00,"Korea,Champions 2013 Spring",Loss,Red,MVP Ozone,33:24,Nidalee,Ryze,1,2,2,1.5,"Ignite,Flash",237,-12,"Seraph's Embrace,Void Staff,Sightstone,Blasting Wand,Doran's Ring,Crystalline Flask ",2013-05-03 09:30:00,0,2013-05-03 09:30:00,MVP Ozone,SK Telecom T1 2,MVP Ozone,"Fiddlesticks,Sona,LeBlanc","Kha'Zix,Twisted Fate,Zed","Shen,Elise,Ryze,Varus,Zyra","Jayce,Jarvan IV,Nidalee,Vayne,Thresh","Homme,DanDy,Dade,imp,Mata","Impact,bengi,Faker,Piglet,PoohManDu",8,7,1,0.875,Regular Season,Korea,Artillery,Diver,Artillery,Glasscannon,Catcher,Warden,Diver,Battlemage,Marksman,Catcher,"Fiddlesticks,Kha'Zix,LeBlanc,Sona,Twisted Fate,Zed",Jayce,Jarvan IV,Nidalee,Vayne,Thresh,Shen,Elise,Ryze,Varus,Zyra,Impact,bengi,Faker,Piglet,PoohManDu,Homme,DanDy,Dade,imp,Mata
2013-05-03 09:30:01,"Korea,Champions 2013 Spring",Loss,Blue,MVP Ozone,20:16,Syndra,Diana,1,7,2,0.43,"Ignite,Flash",99,-30,"Athene's Unholy Grail,Doran's Ring,Boots of Speed,Elixir of Fortitude,Stealth Ward,Health Potion    ",2013-05-03 09:30:01,0,2013-05-03 09:30:00,SK Telecom T1 2,MVP Ozone,MVP Ozone,"Kha'Zix,Zed,Shen","Fiddlesticks,Twisted Fate,Sona","Jayce,Elise,Syndra,Lee Sin,Ezreal","Jarvan IV,Udyr,Diana,Tristana,Anivia","Impact,bengi,Faker,Piglet,PoohManDu","Homme,DanDy,Dade,imp,Mata",9,7,2,0.7778,Regular Season,Korea,Artillery,Diver,Burst,Diver,Nimble,Diver,Juggernaut,Diver,Glasscannon,Battlemage,"Fiddlesticks,Kha'Zix,Shen,Sona,Twisted Fate,Zed",Jayce,Elise,Syndra,Lee Sin,Ezreal,Jarvan IV,Udyr,Diana,Tristana,Anivia,Impact,bengi,Faker,Piglet,PoohManDu,Homme,DanDy,Dade,imp,Mata
